name,value,pretty_value,boot_val,unit,context,vartype,min_val,max_val,enumvals
pg_stat_statements.track_utility,on,"",on,"",superuser,bool,,,""
plan_cache_mode,auto,"",auto,"",user,enum,,,"{auto,force_generic_plan,force_custom_plan}"
port,5432,"",5432,"",postmaster,integer,1,65535,""
post_auth_delay,0,"",0,s,backend,integer,0,2147,""
pre_auth_delay,0,"",0,s,sighup,integer,0,60,""
primary_conninfo,"","","","",sighup,string,,,""
primary_slot_name,"","","","",sighup,string,,,""
quote_all_identifiers,off,"",off,"",user,bool,,,""
random_page_cost,4,"",4,"",user,real,0,1.79769e+308,""
recovery_end_command,"","","","",sighup,string,,,""
recovery_init_sync_method,fsync,"",fsync,"",sighup,enum,,,"{fsync,syncfs}"
recovery_min_apply_delay,0,"",0,ms,sighup,integer,0,2147483647,""
recovery_prefetch,try,"",try,"",sighup,enum,,,"{off,on,try}"
recovery_target,"","","","",postmaster,string,,,""
recovery_target_action,pause,"",pause,"",postmaster,enum,,,"{pause,promote,shutdown}"
recovery_target_inclusive,on,"",on,"",postmaster,bool,,,""
recovery_target_lsn,"","","","",postmaster,string,,,""
recovery_target_name,"","","","",postmaster,string,,,""
recovery_target_time,"","","","",postmaster,string,,,""
recovery_target_timeline,latest,"",latest,"",postmaster,string,,,""
recovery_target_xid,"","","","",postmaster,string,,,""
recursive_worktable_factor,10,"",10,"",user,real,0.001,1e+06,""
remove_temp_files_after_crash,on,"",on,"",sighup,bool,,,""
reserved_connections,0,"",0,"",postmaster,integer,0,262143,""
restart_after_crash,on,"",on,"",sighup,bool,,,""
restore_command,"","","","",sighup,string,,,""
restrict_nonsystem_relation_kind,"","","","",user,string,,,""
row_security,on,"",on,"",user,bool,,,""
scram_iterations,4096,"",4096,"",user,integer,1,2147483647,""
search_path,"""$user"", public","","""$user"", public","",user,string,,,""
segment_size,131072,"",131072,8kB,internal,integer,131072,131072,""
send_abort_for_crash,off,"",off,"",sighup,bool,,,""
send_abort_for_kill,off,"",off,"",sighup,bool,,,""
seq_page_cost,1,"",1,"",user,real,0,1.79769e+308,""
serializable_buffers,32,"",32,8kB,postmaster,integer,16,131072,""
server_encoding,UTF8,"",SQL_ASCII,"",internal,string,,,""
server_version,18.4 (Debian 18.4-1.pgdg13+1),"",18.4 (Debian 18.4-1.pgdg13+1),"",internal,string,,,""
server_version_num,180004,"",180004,"",internal,integer,180004,180004,""
session_preload_libraries,"","","","",superuser,string,,,""
session_replication_role,origin,"",origin,"",superuser,enum,,,"{origin,replica,local}"
shared_buffers,16384,"",16384,8kB,postmaster,integer,16,1073741823,""
shared_memory_size,152,"",0,MB,internal,integer,0,2147483647,""
shared_memory_size_in_huge_pages,76,"",-1,"",internal,integer,-1,2147483647,""
shared_memory_type,mmap,"",mmap,"",postmaster,enum,,,"{sysv,mmap}"
shared_preload_libraries,"pg_stat_statements,auto_explain","","","",postmaster,string,,,""
ssl,off,"",off,"",sighup,bool,,,""
ssl_ca_file,"","","","",sighup,string,,,""
ssl_cert_file,server.crt,"",server.crt,"",sighup,string,,,""
ssl_ciphers,HIGH:MEDIUM:+3DES:!aNULL,"",HIGH:MEDIUM:+3DES:!aNULL,"",sighup,string,,,""
ssl_crl_dir,"","","","",sighup,string,,,""
ssl_crl_file,"","","","",sighup,string,,,""
ssl_dh_params_file,"","","","",sighup,string,,,""
ssl_groups,X25519:prime256v1,"",X25519:prime256v1,"",sighup,string,,,""
ssl_key_file,server.key,"",server.key,"",sighup,string,,,""
ssl_library,OpenSSL,"",OpenSSL,"",internal,string,,,""
ssl_max_protocol_version,"","","","",sighup,enum,,,"{"""",TLSv1,TLSv1.1,TLSv1.2,TLSv1.3}"
ssl_min_protocol_version,TLSv1.2,"",TLSv1.2,"",sighup,enum,,,"{TLSv1,TLSv1.1,TLSv1.2,TLSv1.3}"
ssl_passphrase_command,"","","","",sighup,string,,,""
ssl_passphrase_command_supports_reload,off,"",off,"",sighup,bool,,,""
ssl_prefer_server_ciphers,on,"",on,"",sighup,bool,,,""
ssl_tls13_ciphers,"","","","",sighup,string,,,""
standard_conforming_strings,on,"",on,"",user,bool,,,""
statement_timeout,0,"",0,ms,user,integer,0,2147483647,""
stats_fetch_consistency,cache,"",cache,"",user,enum,,,"{none,cache,snapshot}"
subtransaction_buffers,32,"",0,8kB,postmaster,integer,0,131072,""
summarize_wal,off,"",off,"",sighup,bool,,,""
superuser_reserved_connections,3,"",3,"",postmaster,integer,0,262143,""
synchronized_standby_slots,"","","","",sighup,string,,,""
synchronize_seqscans,on,"",on,"",user,bool,,,""
synchronous_commit,on,"",on,"",user,enum,,,"{local,remote_write,remote_apply,on,off}"
synchronous_standby_names,"","","","",sighup,string,,,""
sync_replication_slots,off,"",off,"",sighup,bool,,,""
